# YYYY MM DD  Total  North  South
# Time base:   1
# Time unit:   d
# Point count: 51728
# ./cyclasar filter 0 0.001 10 sar-1880-2021.tsv filtered-sar-1880-2021.tsv
t/a	At/µhsp
1880.829223633	522.449412475
1880.831909180	523.154615341
1880.834716797	523.859818208
1880.837402344	524.564868487
1880.840209961	525.269857731
1880.842895508	525.974755421
1880.845581055	526.679225866
1880.848388672	527.383238547
1880.851074219	528.087159676
1880.853881836	528.790867181
1880.856567383	529.494422098
1880.859252930	530.197610805
1880.862060547	530.900799511
1880.864746094	531.603530454
1880.867431641	532.306352950
1880.870239258	533.008534576
1880.872924805	533.710380509
1880.875732422	534.412470583
1880.878417969	535.113736682
1880.881103516	535.815368992
1880.883911133	536.516421468
1880.886596680	537.217107733
1880.889404297	537.917793998
1880.892089844	538.617839394
1880.894775391	539.318098413
1880.897583008	540.017777598
1880.900268555	540.717273678
1880.902954102	541.416495099
1880.905761719	542.115747038
1880.908447266	542.814175003
1880.911254883	543.512633484
1880.913940430	544.210451097
1880.916625977	544.908665438
1880.919433594	545.606452534
1880.922119141	546.303568242
1880.924804688	547.000317740
1880.927612305	547.697158790
1880.930297852	548.393481041
1880.933105469	549.089650705
1880.935791016	549.785210017
1880.938476562	550.481349163
1880.941284180	551.176084500
1880.943969727	551.871186048
1880.946777344	552.565585692
1880.949462891	553.259832749
1880.952148438	553.953652559
1880.954956055	554.647411333
1880.957641602	555.340925968
1880.960327148	556.033799733
1880.963134766	556.726673498
1880.965820312	557.419089499
1880.968627930	558.111078255
