# YYYY MM DD  Total  North  South
# Time base:   1
# Time unit:   d
# Point count: 51656
freq/1/d	|At|/µhsp
0.000000000	1319.162475586
0.000019359	348.464019775
0.000038718	36.261466980
0.000058077	154.277450562
0.000077435	144.017028809
0.000096794	65.880210876
0.000116153	93.332565308
0.000135512	76.172698975
0.000154871	32.188434601
0.000174230	96.095855713
0.000193588	38.755165100
0.000212947	89.825149536
0.000232306	209.390518188
0.000251665	727.406677246
0.000271024	401.156585693
0.000290383	119.567687988
0.000309741	166.522338867
0.000329100	160.827575684
0.000348459	105.193664551
0.000367818	64.285911560
0.000387177	1.970034480
0.000406536	22.032238007
0.000425894	70.349113464
0.000445253	27.642377853
0.000464612	26.525207520
0.000483971	46.068485260
0.000503330	100.733345032
0.000522689	88.582000732
0.000542047	59.845348358
0.000561406	52.882137299
0.000580765	23.482656479
0.000600124	29.885723114
0.000619483	6.151571274
0.000638842	16.592302322
0.000658200	40.543266296
0.000677559	52.593383789
0.000696918	20.372850418
0.000716277	20.319158554
0.000735636	27.507446289
0.000754995	16.497060776
0.000774353	47.526271820
0.000793712	54.228145599
0.000813071	11.891446114
0.000832430	46.466171265
0.000851789	47.527275085
0.000871148	22.395647049
0.000890506	4.245656490
0.000909865	12.208662033
0.000929224	41.775337219
0.000948583	12.503959656
0.000967942	20.302457809
0.000987301	20.068634033
0.001006659	27.065698624
0.001026018	20.335863113
0.001045377	47.298229218
0.001064736	15.453051567
0.001084095	37.676303864
0.001103454	45.112121582
0.001122812	13.879895210
0.001142171	13.413043976
0.001161530	33.991512299
0.001180889	69.708358765
0.001200248	20.544881821
0.001219607	47.174602509
0.001238965	22.462661743
0.001258324	16.230382919
0.001277683	13.365196228
0.001297042	56.218971252
0.001316401	8.355791092
0.001335760	3.850947142
0.001355118	32.551395416
0.001374477	35.385070801
0.001393836	34.962623596
0.001413195	12.379848480
0.001432554	38.430473328
0.001451913	6.683585167
0.001471271	31.010049820
0.001490630	39.505588531
0.001509989	21.219255447
0.001529348	21.227884293
0.001548707	30.308057785
0.001568066	34.762039185
0.001587425	15.271014214
0.001606783	19.571249008
0.001626142	29.198862076
0.001645501	31.909679413
0.001664860	24.571531296
0.001684219	7.904554367
0.001703578	26.976154327
0.001722936	22.053167343
0.001742295	37.650257111
0.001761654	25.882225037
0.001781013	35.112915039
0.001800372	8.421565056
0.001819731	6.326851368
0.001839089	24.521675110
0.001858448	36.000816345
0.001877807	34.386795044
0.001897166	45.347095490
0.001916525	22.235074997
0.001935884	18.410707474
0.001955242	27.751911163
0.001974601	20.013238907
0.001993960	9.034482002
0.002013319	20.950420380
0.002032678	34.004993439
0.002052037	30.916112900
0.002071395	45.769145966
